Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
2500,House,Maison ouvrière ,205000,3,None,1,None,None,None,True,No
8800,House,Maison ouvrière ,174000,2,125,1,to be renovated,None,None,None,No
3600,House,Maison ouvrière ,149000,4,None,1,to be renovated,None,None,True,No
8970,House,Maison ouvrière ,99000,1,None,1,None,None,None,True,No
9052,House,Maison ouvrière ,265000,2,100,1,to be renovated,None,None,True,No
7800,House,Maison ouvrière ,168000,3,135,1,None,None,None,None,No
2900,House,Maison ouvrière ,425000,4,190,1,New,None,None,None,No
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
2500,House,Maison ouvrière ,205000,3,None,1,None,None,None,True,No
8800,House,Maison ouvrière ,174000,2,125,1,to be renovated,None,None,None,No
3600,House,Maison ouvrière ,149000,4,None,1,to be renovated,None,None,True,No
8970,House,Maison ouvrière ,99000,1,None,1,None,None,None,True,No
9052,House,Maison ouvrière ,265000,2,100,1,to be renovated,None,None,True,No
7800,House,Maison ouvrière ,168000,3,135,1,None,None,None,None,No
2900,House,Maison ouvrière ,425000,4,190,1,New,None,None,None,No
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,bathroom,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
None,None,None,None,None,None,None,None,No,None,No,None,None,None,None,None,None
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,bathroom,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
Locality,Type of property,Subtype of property,Price (€),Type of sale,Number of rooms,Area (m²),Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,bathroom,Surface area of the plot of land (m²),Number of facades,Swimming pool,State of the building
2500,House,Maison ouvrière ,205000,None,3,None,None,,None,No,True,1,None,None,None,None
8800,House,Maison ouvrière ,174000,None,2,125,None,,None,No,None,1,None,None,None,to be renovated
3600,House,Maison ouvrière ,149000,None,4,None,None,,None,No,True,1,None,None,None,to be renovated
8970,House,Maison ouvrière ,99000,None,1,None,None,,None,No,True,1,None,None,None,None
9052,House,Maison ouvrière ,265000,None,2,100,None,No,None,No,True,1,None,None,None,to be renovated
7800,House,Maison ouvrière ,168000,None,3,135,None,,None,No,None,1,None,None,None,None
2900,House,Maison ouvrière ,425000,None,4,190,None,No,None,No,None,1,None,None,None,New
